Typology,DP_Real,EO_Real
0,1.0,1.0
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,1.0,1.0
6,1.0,1.0
7,1.0,1.0
8,1.0,1.0
9,1.0,1.0
10,1.0,1.0
11,0.01622442455242967,0.01622442455242967
12,0.4943537534374817,0.4943537534374817
13,0.6743780343033176,0.6743780343033176
14,0.8000906284736073,0.8000906284736073
15,0.0008587376556462001,0.0008587376556462001
16,0.00465005770144593,0.00465005770144593
17,0.35496124031007753,0.35496124031007753
18,0.04661428445307672,0.04661428445307672
19,0.10214521452145214,0.10214521452145214
20,0.6851695177565466,0.6851695177565466
21,0.23150151449588924,0.23150151449588924
22,1.0,1.0
23,1.0,1.0
24,1.0,1.0
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
