,precision,recall,f1-score,support
0,0.0,0.0,0.0,11.0
1,0.0,0.0,0.0,6.0
2,0.0,0.0,0.0,5.0
3,0.0,0.0,0.0,24.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,20.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,7.0
9,0.0,0.0,0.0,6.0
10,0.0,0.0,0.0,16.0
11,0.463768115942029,0.006393606393606394,0.012613322822230983,5005.0
12,0.5786682380671774,0.43095377413692215,0.494005198289595,6836.0
13,0.40027985074626865,0.36516041187984,0.38191446753593516,47004.0
14,0.4117890822749367,0.7120006196866709,0.5217952811779315,51639.0
15,0.0,0.0,0.0,932.0
16,0.0,0.0,0.0,11785.0
17,0.32242820792439114,0.3437984496124031,0.3327705871318702,2580.0
18,0.0,0.0,0.0,4531.0
19,0.2261904761904762,0.015676567656765675,0.029320987654320986,1212.0
20,0.7312075515137562,0.6553774327095451,0.6912189780525461,77537.0
21,0.1896551724137931,0.023809523809523808,0.04230769230769231,462.0
22,0.0,0.0,0.0,1.0
23,0.0,0.0,0.0,2.0
24,0.0,0.0,0.0,6.0
25,0.0,0.0,0.0,16.0
26,0.0,0.0,0.0,12.0
27,0.0,0.0,0.0,47.0
accuracy,0.5180459194621272,0.5180459194621272,0.5180459194621272,0.5180459194621272
macro avg,0.1187138105383153,0.0911846566387599,0.08949808982043295,209715.0
weighted avg,0.4970809635207554,0.5180459194621272,0.49040517168530107,209715.0
