,precision,recall,f1-score,support
0,0.0,0.0,0.0,11.0
1,0.0,0.0,0.0,6.0
2,0.0,0.0,0.0,5.0
3,0.0,0.0,0.0,24.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,20.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,7.0
9,0.0,0.0,0.0,6.0
10,0.0,0.0,0.0,16.0
11,0.0,0.0,0.0,5005.0
12,0.0,0.0,0.0,6836.0
13,0.0,0.0,0.0,47004.0
14,0.0,0.0,0.0,51639.0
15,0.0,0.0,0.0,932.0
16,0.0,0.0,0.0,11785.0
17,0.0,0.0,0.0,2580.0
18,0.0,0.0,0.0,4531.0
19,0.0,0.0,0.0,1212.0
20,0.0,0.0,0.0,77537.0
21,0.0,0.0,0.0,462.0
22,0.0,0.0,0.0,1.0
23,0.0,0.0,0.0,2.0
24,2.8610393202170577e-05,1.0,5.721914934197979e-05,6.0
25,0.0,0.0,0.0,16.0
26,0.0,0.0,0.0,12.0
27,0.0,0.0,0.0,47.0
accuracy,2.8610256777054574e-05,2.8610256777054574e-05,2.8610256777054574e-05,2.8610256777054574e-05
macro avg,1.0217997572203778e-06,0.03571428571428571,2.0435410479278496e-06,209715.0
weighted avg,8.185506960065969e-10,2.8610256777054574e-05,1.637054555238675e-09,209715.0
